# 互換漢字（KS/JIS除く）
compat/variant,<rev>,compat/regular
#
兀,compat/variant,兀
嗀,compat/variant,嗀
晴,compat/variant,晴
益,compat/variant,益
礼,compat/variant,礼
靖,compat/variant,靖
精,compat/variant,精
羽,compat/variant,羽
逸,compat/variant,逸
飯,compat/variant,飯
飼,compat/variant,飼
館,compat/variant,館
鶴,compat/variant,鶴
恵,compat/variant,恵
𤋮,compat/variant,𤋮
舘,compat/variant,舘
並,compat/variant,並
况,compat/variant,况
全,compat/variant,全
侀,compat/variant,侀
充,compat/variant,充
冀,compat/variant,冀
勇,compat/variant,勇
勺,compat/variant,勺
喝,compat/variant,喝
啕,compat/variant,啕
喙,compat/variant,喙
嗢,compat/variant,嗢
塚,compat/variant,塚
墳,compat/variant,墳
奄,compat/variant,奄
奔,compat/variant,奔
婢,compat/variant,婢
嬨,compat/variant,嬨
廒,compat/variant,廒
廙,compat/variant,廙
彩,compat/variant,彩
徭,compat/variant,徭
惘,compat/variant,惘
慎,compat/variant,慎
愈,compat/variant,愈
憎,compat/variant,憎
慠,compat/variant,慠
懲,compat/variant,懲
戴,compat/variant,戴
揄,compat/variant,揄
搜,compat/variant,搜
摒,compat/variant,摒
敖,compat/variant,敖
晴,compat/variant,晴
朗,compat/variant,朗
望,compat/variant,望
杖,compat/variant,杖
歹,compat/variant,歹
殺,compat/variant,殺
流,compat/variant,流
滛,compat/variant,滛
滋,compat/variant,滋
漢,compat/variant,漢
瀞,compat/variant,瀞
煮,compat/variant,煮
瞧,compat/variant,瞧
爵,compat/variant,爵
犯,compat/variant,犯
猪,compat/variant,猪
瑱,compat/variant,瑱
甆,compat/variant,甆
画,compat/variant,画
瘝,compat/variant,瘝
瘟,compat/variant,瘟
益,compat/variant,益
盛,compat/variant,盛
直,compat/variant,直
睊,compat/variant,睊
着,compat/variant,着
磌,compat/variant,磌
窱,compat/variant,窱
節,compat/variant,節
类,compat/variant,类
絛,compat/variant,絛
練,compat/variant,練
缾,compat/variant,缾
者,compat/variant,者
荒,compat/variant,荒
華,compat/variant,華
蝹,compat/variant,蝹
襁,compat/variant,襁
覆,compat/variant,覆
視,compat/variant,視
調,compat/variant,調
諸,compat/variant,諸
請,compat/variant,請
謁,compat/variant,謁
諾,compat/variant,諾
諭,compat/variant,諭
謹,compat/variant,謹
變,compat/variant,變
贈,compat/variant,贈
輸,compat/variant,輸
遲,compat/variant,遲
醙,compat/variant,醙
鉶,compat/variant,鉶
陼,compat/variant,陼
難,compat/variant,難
靖,compat/variant,靖
韛,compat/variant,韛
響,compat/variant,響
頋,compat/variant,頋
頻,compat/variant,頻
鬒,compat/variant,鬒
龜,compat/variant,龜
𢡊,compat/variant,𢡊
𢡄,compat/variant,𢡄
𣏕,compat/variant,𣏕
㮝,compat/variant,㮝
䀘,compat/variant,䀘
䀹,compat/variant,䀹
𥉉,compat/variant,𥉉
𥳐,compat/variant,𥳐
𧻓,compat/variant,𧻓
齃,compat/variant,齃
龎,compat/variant,龎
丽,compat/variant,丽
丸,compat/variant,丸
乁,compat/variant,乁
𠄢,compat/variant,𠄢
你,compat/variant,你
侮,compat/variant,侮
侻,compat/variant,侻
倂,compat/variant,倂
偺,compat/variant,偺
備,compat/variant,備
僧,compat/variant,僧
像,compat/variant,像
㒞,compat/variant,㒞
𠘺,compat/variant,𠘺
免,compat/variant,免
兔,compat/variant,兔
兤,compat/variant,兤
具,compat/variant,具
𠔜,compat/variant,𠔜
㒹,compat/variant,㒹
內,compat/variant,內
再,compat/variant,再
𠕋,compat/variant,𠕋
冗,compat/variant,冗
冤,compat/variant,冤
仌,compat/variant,仌
冬,compat/variant,冬
况,compat/variant,况
𩇟,compat/variant,𩇟
凵,compat/variant,凵
刃,compat/variant,刃
㓟,compat/variant,㓟
刻,compat/variant,刻
剆,compat/variant,剆
割,compat/variant,割
剷,compat/variant,剷
㔕,compat/variant,㔕
勇,compat/variant,勇
勉,compat/variant,勉
勤,compat/variant,勤
勺,compat/variant,勺
包,compat/variant,包
匆,compat/variant,匆
北,compat/variant,北
卉,compat/variant,卉
卑,compat/variant,卑
博,compat/variant,博
即,compat/variant,即
卽,compat/variant,卽
卿,compat/variant,卿
卿,compat/variant,卿
卿,compat/variant,卿
𠨬,compat/variant,𠨬
灰,compat/variant,灰
及,compat/variant,及
叟,compat/variant,叟
𠭣,compat/variant,𠭣
叫,compat/variant,叫
叱,compat/variant,叱
吆,compat/variant,吆
咞,compat/variant,咞
吸,compat/variant,吸
呈,compat/variant,呈
周,compat/variant,周
咢,compat/variant,咢
哶,compat/variant,哶
唐,compat/variant,唐
啓,compat/variant,啓
啣,compat/variant,啣
善,compat/variant,善
善,compat/variant,善
喙,compat/variant,喙
喫,compat/variant,喫
喳,compat/variant,喳
嗂,compat/variant,嗂
圖,compat/variant,圖
嘆,compat/variant,嘆
圗,compat/variant,圗
噑,compat/variant,噑
噴,compat/variant,噴
切,compat/variant,切
壮,compat/variant,壮
城,compat/variant,城
埴,compat/variant,埴
堍,compat/variant,堍
型,compat/variant,型
堲,compat/variant,堲
報,compat/variant,報
墬,compat/variant,墬
𡓤,compat/variant,𡓤
売,compat/variant,売
壷,compat/variant,壷
夆,compat/variant,夆
多,compat/variant,多
夢,compat/variant,夢
奢,compat/variant,奢
𡚨,compat/variant,𡚨
𡛪,compat/variant,𡛪
姬,compat/variant,姬
娛,compat/variant,娛
