# Variants by components.
# AB/B,<rev>,AB/A
⺳,八儿/儿,㓁
⺳,八儿/儿,冗
㐋,土士/士,㐊
㐰,口厶/厶,仏
㐰,口𠮚/𠮚,𠇂
㐲,大太/太,㑀
㐲,大犬/犬,伏
㐳,兀几/几,仉
㐵,于亐/亐,𠆬
㐹,气氣/氣,㑶
㐻,内內/內,㐻
㐻,内納/納,𠌦
㐼,升舛/舛,𠈞
㐾,元原/原,傆
㑀,太泰/泰,傣
㑆,兄只/只,伿
㑢,却卻/卻,𠊬
㑪,斉齊/齊,儕
㑭,畀𢌿/𢌿,𠉶
㑮,軍军/军,𫝈
㑯,頁页/页,㑔
㑳,芻刍/刍,㑇
㒓,達达/达,𠉂
㒘,竪豎/豎,𠐊
㒞,嶲巂/巂,儶
㒞,嶲雟/雟,儶
㒥,豐丰/丰,仹
㒦,壘畾/畾,儡
㒧,離离/离,𠌯
㒪,止/,㒪
㒰,入𠆢/𠆢,仝
㒵,八儿/儿,皃
㒹,真眞/眞,㒹
㒹,真眞/眞,㒹
㒻,日冃/冃,㒻
㒽,日冃/冃,㒽
㒾,日冃/冃,㒾
㒿,日冃/冃,㒿
㓁,儿几/几,冗
㓏,冏冋/冋,𠖷
㓛,刀刂/刂,㓚
㓜,刀刁/刁,𢆵
㓝,井丼/丼,𠛜
㓞,丯丰/丰,㓞
㓞,刀刂/刂,𠛉
㓥,当當/當,劏
㓨,夾夹/夹,刾
㓪,刀刂/刂,剆
㓪,刀刂/刂,剆
㓰,画畫/畫,劃
㓵,咢㖾/㖾,𠟎
㔃,絶絕/絕,㔃
㔉,属屬/屬,劚
㔋,監监/监,𪟎
㔑,薛辥/辥,㔎
㔢,絶絕/絕,㔢
㔫,匕𠤎/𠤎,𡯃
㔶,贛𥫔/𥫔,㔶
㕀,㔾𢎘/𢎘,㽕
㕔,聽聼/聼,𠫊
㕔,聽𦗟/𦗟,𠫇
㕣,八丷/丷,𠮦
㕣,口厶/厶,公
㕤,九尢/尢,𫝘
㕯,内內/內,㕯
㕱,尤尢/尢,𫝘
㕴,冗宂/宂,𠰽
㕹,犮𡗜/𡗜,𠰵
㖁,𠫤𠯌/𠯌,𠳈
㖃,后後/後,𠷴
㖅,戌戍/戍,𠲌
㖇,而能/能,𠹌
㖑,戒𢦶/𢦶,𠸴
㖤,函凾/凾,𠷭
㖤,函圅/圅,𠹄
㖦,東柬/柬,𠷬
㖧,昏昬/昬,㗃
㖨,彔录/录,㖨
㖪,或國/國,嘓
㖮,侖仑/仑,𪠵
㖮,侖崙/崙,𠼩
㖷,是昰/昰,𠷚
㖼,某梅/梅,𠻽
㗗,另𠮠/𠮠,㗗
㗙,芻蒭/蒭,𡁿
㗛,笑关/关,咲
㗛,笑𥬇/𥬇,𠺑
㗬,多𡖇/𡖇,𡖹
㗳,答荅/荅,嗒
㗴,間閒/閒,㗴
㗿,閜閕/閕,𠽫
㘅,銜衘/衘,𠾑
㘉,節节/节,𠰱
㘓,闌阑/阑,𪢌
㘖,顔顏/顏,㘖
㘙,嚴巖/巖,𡆑
㘚,闞阚/阚,㘎
㘤,淵渊/渊,𡈛
㘥,繇䌛/䌛,𡈸
㘦,土工/工,功
㘨,内內/內,㘨
㘬,勾句/句,坸
㘰,斗𣁬/𣁬,𡉜
㘱,冉冄/冄,𡉱
㙂,兌兑/兑,㙂
㙅,呆𠫡/𠫡,𡋠
㙆,宏厷/厷,𡉞
㙈,虎𧆞/𧆞,𡎍
㙋,其亓/亓,𡉨
㙋,其基/基,𪤏
㙋,其箕/箕,𡒬
㙎,威畏/畏,㙗
㙦,斜邪/邪,𡌯
㙮,答畣/畣,墖
㙮,答荅/荅,塔
㙻,廛㕓/㕓,壥
㙻,廛㢆/㢆,𡏂
㚇,夂夊/夊,㚇
