kdp/duplicate,<rev>,kdp/duplicate
匓,kdp/duplicate,𠣿
哅,kdp/duplicate,㕼
器,kdp/duplicate,𠾖
囍,kdp/duplicate,𡅕
壄,kdp/duplicate,𡐨
巹,kdp/duplicate,𢀷
巽,kdp/duplicate,𢁉
幐,kdp/duplicate,㬺
执,kdp/duplicate,𢩾
槩,kdp/duplicate,㮣
槱,kdp/duplicate,𪳝
欄,kdp/duplicate,𣟬
潸,kdp/duplicate,𣽽
煢,kdp/duplicate,㷀
煴,kdp/duplicate,熅
獡,kdp/duplicate,𤡯
琢,kdp/duplicate,𤥨
瑨,kdp/duplicate,𤨁
疉,kdp/duplicate,𤴁
眔,kdp/duplicate,𥄳
礡,kdp/duplicate,礴
稽,kdp/duplicate,𥡴
突,kdp/duplicate,𥤮
窴,kdp/duplicate,𥧑
篹,kdp/duplicate,𥲻
簆,kdp/duplicate,𥲃
臭,kdp/duplicate,𦤀
舀,kdp/duplicate,𦥝
虁,kdp/duplicate,𡖂
虁,kdp/duplicate,𧅄
謹,kdp/duplicate,𧫴
豬,kdp/duplicate,𧳯
逸,kdp/duplicate,𨓜
邔,kdp/duplicate,𨙬
隆,kdp/duplicate,𨺓
頙,kdp/duplicate,𩑠
類,kdp/duplicate,𩔖
龺,kdp/duplicate,𠦝
㒨,kdp/duplicate,𠑗
㖈,kdp/duplicate,䎛
㘽,kdp/duplicate,㦳
㝸,kdp/duplicate,𡭪
㶷,kdp/duplicate,𤈎
䏞,kdp/duplicate,𦚜
䜌,kdp/duplicate,龻
﨣,kdp/duplicate,𧺯
𠊍,kdp/duplicate,𨥀
𠓲,kdp/duplicate,𣔕
𡀘,kdp/duplicate,𡀼
𡼷,kdp/duplicate,𤎚
𢐽,kdp/duplicate,𦏚
𢒄,kdp/duplicate,𢒅
𣊫,kdp/duplicate,𣊭
𣝡,kdp/duplicate,𣞼
𣽁,kdp/duplicate,𣾞
𤐥,kdp/duplicate,𤑋
𤖊,kdp/duplicate,𤖄
𤦼,kdp/duplicate,𤧩
𤯒,kdp/duplicate,𪐕
𥼢,kdp/duplicate,𥽒
𦄳,kdp/duplicate,𢑲
𦌽,kdp/duplicate,𧮀
𦭠,kdp/duplicate,𦭫
𦯵,kdp/duplicate,萖
𩒋,kdp/duplicate,𩑿
𩿎,kdp/duplicate,𩿗
