jp/borrowed,<name>,同音の書き換え字
jp/borrowed-reverse,<name>,同音の書き換え対象字
jp/borrowed,<rev>,jp/borrowed-reverse

歎,jp/borrowed,嘆
惣,jp/borrowed,総
劃,jp/borrowed,画
宏,jp/borrowed,広
棉,jp/borrowed,綿
鎔,jp/borrowed,溶
熔,jp/borrowed,溶
掠,jp/borrowed,略
聯,jp/borrowed,連
闇,jp/borrowed,暗
廓,jp/borrowed,郭
稀,jp/borrowed,希
兇,jp/borrowed,凶
絃,jp/borrowed,弦
倖,jp/borrowed,幸
坐,jp/borrowed,座
洲,jp/borrowed,州
輯,jp/borrowed,集
智,jp/borrowed,知
註,jp/borrowed,注
叛,jp/borrowed,反
篇,jp/borrowed,編
輔,jp/borrowed,補
摸,jp/borrowed,模
慾,jp/borrowed,欲
諒,jp/borrowed,了
沮,jp/borrowed,阻
銷,jp/borrowed,消
蹟,jp/borrowed,跡
誡,jp/borrowed,戒
廻,jp/borrowed,回
畸,jp/borrowed,奇
糺,jp/borrowed,糾
馭,jp/borrowed,御
讃,jp/borrowed,賛
陞,jp/borrowed,昇
焰,jp/borrowed,炎
焔,jp/borrowed,炎,拡張新字体
蹈,jp/borrowed,踏
𨂻,jp/borrowed,踏,拡張新字体
歿,jp/borrowed,没
殁,jp/borrowed,没,拡張新字体
礦,jp/borrowed,鉱
砿,jp/borrowed,鉱,拡張新字体
輛,jp/borrowed,両
輌,jp/borrowed,両,拡張新字体
潰,jp/borrowed,壊,文脈依存
臆,jp/borrowed,憶,文脈依存
蝕,jp/borrowed,食,文脈依存
煽,jp/borrowed,扇,文脈依存
帖,jp/borrowed,帳,文脈依存
磐,jp/borrowed,盤,文脈依存
旱,jp/borrowed,干,文脈依存
頽,jp/borrowed,退,文脈依存
佚,jp/borrowed,逸,文脈依存
翳,jp/borrowed,影,文脈依存
誦,jp/borrowed,唱,文脈依存
按,jp/borrowed,案,文脈依存
嚮,jp/borrowed,向,文脈依存
藉,jp/borrowed,謝,文脈依存
裳,jp/borrowed,装,文脈依存
挺,jp/borrowed,丁,文脈依存
頴,jp/borrowed,英,文脈依存
掩,jp/borrowed,援,文脈依存
苑,jp/borrowed,園,文脈依存
誼,jp/borrowed,義,文脈依存
叡,jp/borrowed,英,文脈依存
