# Typical Old-Style IVS from JIS X 0213:2000/2004 characters
#
# organized by: Taichi Kawabata
#
# 1st column :: Japanese simplified character (non Joyo-Kanji included.  IVS may be used)
# 2nd column :: old character (IVS may be used when appropriate)
# 3rd column :: compatibility character
# 4th column :: comment
#
# ★は常用漢字でかつ「旧字・旧かな入門」に記載がない文字
# ☆は「旧字・旧かな入門」に掲載されつつもAJ16にもHDにもない文字
#
# 参考資料
# - 府川・小池「旧字旧かな入門」（柏書房）
# - 常用漢字表
# - 印刷標準字体表
# - JIS X 0208:1997 規格表 (入れ替え・追加22文字等）
# - JIS X 0213:2004 規格表
# - Adobe GSUB テーブル (trad 等)
# - Adobe cid2code.txt
# - 斎藤修三郎 「青空パッケージ」（LaTeX2e的）
#
亜󠄀	亞󠄀
唖󠄀	啞󠄀
逢󠄀	逢󠄁
穐󠄀	龝󠄁
悪󠄀	惡󠄀
芦󠄀	芦󠄁
鯵󠄀	鰺󠄀
圧󠄀	壓󠄀
扱󠄀	扱󠄁
飴󠄀	飴󠄁
暗󠄀	暗󠄁
偉󠄀	偉󠄁
囲󠄀	圍󠄁
意󠄀	意󠄁
為󠄀	爲󠄀
緯󠄀	緯󠄁
違󠄀	違󠄂
遺󠄀	遺󠄁
医󠄀	醫󠄀
亥󠄀			# ★
磯󠄀	磯󠄁
壱󠄀	壹󠄀
溢󠄀	溢󠄁
逸󠄀	逸󠄁	逸
稲󠄀	稻󠄀
茨󠄀	茨󠄁
鰯󠄀	鰯󠄁
淫󠄀	淫󠄁
隠󠄀	隱󠄀
羽󠄁	羽󠄀
迂󠄀	迂󠄁
嘘󠄀	噓󠄀
欝󠄀	欝󠄁
厩󠄀	厩󠄂
閏󠄀	𨳝󠄀
噂󠄀	噂󠄁
運󠄀	運󠄁
餌󠄀	餌󠄁
営󠄀	營󠄀
栄󠄀	榮󠄀
永	永󠄁
衛󠄀	衞󠄀
鋭󠄀	銳󠄀
益󠄀	益󠄁
駅󠄀	驛󠄀
悦󠄀	悅󠄀
謁󠄁	謁󠄀	謁
閲󠄀	閱󠄀
円󠄀	圓󠄀
延󠄀	延󠄂
援󠄀	援󠄁
沿󠄁	沿󠄀
焔󠄀	焰󠄀
縁󠄀	緣󠄀
艶󠄀	艷󠄀
遠󠄀	遠󠄁
鉛󠄀	鉛󠄂
塩󠄀	鹽󠄀
於󠄀	於󠄁
奥󠄀	奧󠄀
往󠄀	往󠄁
応󠄀	應󠄀
横󠄀	橫󠄀
欧󠄀	歐󠄀
殴󠄀	毆󠄀
翁󠄀	翁󠄂
襖󠄀	襖󠄁
鴬󠄀	鶯󠄀
鴎󠄀	鷗󠄀
黄󠄀	黃󠄀
温󠄀	溫󠄀
穏󠄀	穩󠄀
音󠄀	音󠄁
化󠄀	化󠄁
仮󠄀	假󠄀
価󠄀	價󠄀
禍󠄁	禍󠄀	禍
花󠄀	花󠄁
貨󠄀	貨󠄁
迦󠄀	迦󠄁
過󠄀	過󠄁
蚊󠄀	蚊󠄁
牙󠄀	牙󠄁
画󠄀	畫󠄀
芽󠄁	芽󠄀
雅󠄀	雅󠄂
餓󠄀	餓󠄁
会󠄀	會󠄀
壊󠄀	壞󠄀
廻󠄀	𢌞󠄀
悔󠄁	悔󠄀	悔
恢󠄀	恢󠄁
懐󠄀	懷󠄀
拐󠄀	拐󠄁
晦󠄀	晦󠄁
海󠄁	海󠄀	海
灰󠄀	灰󠄁
絵󠄀	繪󠄀
害󠄀	害󠄂
慨󠄀	慨󠄁	慨
概󠄀	槪󠄀
該󠄀			# 該󠄂
蛎󠄀	蠣󠄀
拡󠄀	擴󠄀
撹󠄀	攪󠄀
核󠄀			# 核󠄂
殻󠄀	殼󠄀
覚󠄀	覺󠄀
較󠄀	較󠄁
隔󠄀	隔󠄁
学󠄀	學󠄀
岳󠄀	嶽󠄀
楽󠄀	樂󠄀
割󠄁	割󠄀
喝󠄀	喝󠄁	喝
渇󠄀	渴󠄀
葛󠄀	葛󠄁
褐󠄀	褐󠄁	褐
轄󠄀	轄󠄁
鞄󠄀	鞄󠄁
竃󠄀	竈󠄀
釜󠄀	釜󠄀
鎌󠄀	鎌󠄁
噛󠄀	嚙󠄀
寒󠄀	寒󠄁
勧󠄀	勸󠄀
巻󠄀	卷󠄀
寛󠄀	寛󠄁	寬
歓󠄀	歡󠄀
漢󠄀	漢󠄁	漢
澗󠄀	㵎󠄀
潅󠄀	灌󠄀
環󠄀	環󠄁
簡󠄀			# 𥳑
緩󠄀	緩󠄁
缶󠄀	罐󠄀
翰󠄀	翰󠄁
観󠄀	觀󠄀
諌󠄀	諫󠄀
還󠄀	還󠄁
間󠄀	閒󠄁
関󠄀	關󠄀
陥󠄀	陷󠄀
韓󠄀	韓󠄁
館󠄀	館󠄁
舘󠄀	舘󠄁
巌󠄀	巖󠄀
翫󠄀	翫󠄁
顔󠄀	顏󠄀
危󠄀	危󠄁
器󠄀	器󠄁	器
既󠄁	既󠄀	既
