# 部品の相対位置の違いによる異体字
kdp/variant/positional,<rev>,kdp/variant/positional
㔗,kdp/variant/positional,𠡂
㔣,kdp/variant/positional,𠢿
㖋,kdp/variant/positional,㖎
㖡,kdp/variant/positional,㖱
㖯,kdp/variant/positional,㖰
㖷,kdp/variant/positional,𠸭
㘻,kdp/variant/positional,𡋘
㙍,kdp/variant/positional,𡌭
㙑,kdp/variant/positional,㙖
㚕,kdp/variant/positional,𡗻
㚕,kdp/variant/positional,𡘉
㚳,kdp/variant/positional,妿
㛙,kdp/variant/positional,𨐎
㛨,kdp/variant/positional,𡝸
㛳,kdp/variant/positional,媂
㛾,kdp/variant/positional,𡞣
㜂,kdp/variant/positional,𪦇
㜌,kdp/variant/positional,𡠆
㜜,kdp/variant/positional,嫯
㜧,kdp/variant/positional,𡡕
㜶,kdp/variant/positional,𡤎
㞧,kdp/variant/positional,屷
㟔,kdp/variant/positional,㟏
㟖,kdp/variant/positional,𡷟
㟞,kdp/variant/positional,𡸚
㟤,kdp/variant/positional,𡸮
㟦,kdp/variant/positional,𡺠
㟪,kdp/variant/positional,嵔
㟫,kdp/variant/positional,𡺙
㟬,kdp/variant/positional,𡻁
㟯,kdp/variant/positional,𡺀
㟶,kdp/variant/positional,㟲
㟹,kdp/variant/positional,𡼅
㟼,kdp/variant/positional,㠂
㟼,kdp/variant/positional,嶅
㠂,kdp/variant/positional,嶅
㠆,kdp/variant/positional,𡼤
㠆,kdp/variant/positional,𡼯
㠋,kdp/variant/positional,𡼑
㠍,kdp/variant/positional,㠎
㠏,kdp/variant/positional,𪩓
㠘,kdp/variant/positional,𡽬
㠧,kdp/variant/positional,𡿐
㡂,kdp/variant/positional,𢂥
㡐,kdp/variant/positional,𢃬
㥸,kdp/variant/positional,𢞰
㦰,kdp/variant/positional,𢦜
㩼,kdp/variant/positional,𢻈
㪁,kdp/variant/positional,𢻶
㪴,kdp/variant/positional,𣁯
㫛,kdp/variant/positional,𣅷
㫡,kdp/variant/positional,昸
㫤,kdp/variant/positional,㫤
㫭,kdp/variant/positional,𪰛
㫷,kdp/variant/positional,𣇳
㫷,kdp/variant/positional,𣈒
㫼,kdp/variant/positional,𪰮
㬂,kdp/variant/positional,𣈦
㬮,kdp/variant/positional,𣌖
㬶,kdp/variant/positional,𦛩
㭘,kdp/variant/positional,𣑠
㮍,kdp/variant/positional,椾
㯍,kdp/variant/positional,槳
㯕,kdp/variant/positional,𣚄
㰣,kdp/variant/positional,𣢙
㱤,kdp/variant/positional,𣨗
㱳,kdp/variant/positional,𣩎
㱸,kdp/variant/positional,𣩩
㲒,kdp/variant/positional,𪵙
㲖,kdp/variant/positional,𣭱
㲚,kdp/variant/positional,𣮅
㲣,kdp/variant/positional,𣯜
㲨,kdp/variant/positional,𣯏
㲪,kdp/variant/positional,𣰆
㲯,kdp/variant/positional,𣰦
㲱,kdp/variant/positional,𣰫
㲲,kdp/variant/positional,𣱃
㶪,kdp/variant/positional,炋
㷙,kdp/variant/positional,𤋎
㷬,kdp/variant/positional,𦹪
㷳,kdp/variant/positional,𤏚
㸏,kdp/variant/positional,𤓒
㺉,kdp/variant/positional,𤠼
㺬,kdp/variant/positional,𤣲
㼉,kdp/variant/positional,𤫯
㼊,kdp/variant/positional,𤫭
㼐,kdp/variant/positional,𤬊
㼓,kdp/variant/positional,𤬓
㼔,kdp/variant/positional,𤬒
㼜,kdp/variant/positional,𤬺
㼨,kdp/variant/positional,𤭙
㼶,kdp/variant/positional,𤭷
㼺,kdp/variant/positional,𤮂
㽄,kdp/variant/positional,𤮓
㽧,kdp/variant/positional,𤲸
㿫,kdp/variant/positional,𤿎
㿸,kdp/variant/positional,𥀗
䀛,kdp/variant/positional,䀜
䀟,kdp/variant/positional,𥄱
䀫,kdp/variant/positional,𥅽
䀸,kdp/variant/positional,䀿
䀸,kdp/variant/positional,䁀
䀹,kdp/variant/positional,鿃
䀿,kdp/variant/positional,䁀
䁱,kdp/variant/positional,𥋈
䂟,kdp/variant/positional,𥑆
䂤,kdp/variant/positional,𥑧
䂾,kdp/variant/positional,𥓜
䄻,kdp/variant/positional,𫀰
䅀,kdp/variant/positional,𥞥
䅁,kdp/variant/positional,𥞬
䅣,kdp/variant/positional,𥠟
䅨,kdp/variant/positional,𩡄
䆯,kdp/variant/positional,𡢷
䇓,kdp/variant/positional,𩓣
䊊,kdp/variant/positional,𡲸
䊊,kdp/variant/positional,𥹹
䊓,kdp/variant/positional,𫃆
䊛,kdp/variant/positional,𥻦
䋂,kdp/variant/positional,𥾥
䌠,kdp/variant/positional,𦆃
䍋,kdp/variant/positional,𦈼
䍾,kdp/variant/positional,𦐧
䎃,kdp/variant/positional,𦐘
䎆,kdp/variant/positional,𫅤
䎈,kdp/variant/positional,𦐪
䎊,kdp/variant/positional,𦐦
䎓,kdp/variant/positional,𦑇
䎔,kdp/variant/positional,𦑵
䎖,kdp/variant/positional,𦒗
䎗,kdp/variant/positional,𦒓
䎽,kdp/variant/positional,𦖞
䏀,kdp/variant/positional,𦖨
䑔,kdp/variant/positional,𦥡
䑺,kdp/variant/positional,𩗋
䖘,kdp/variant/positional,𧇢
䗠,kdp/variant/positional,𧐗
䗥,kdp/variant/positional,𧐱
䗦,kdp/variant/positional,䗬
䗩,kdp/variant/positional,𧐶
䗪,kdp/variant/positional,蟅
䗸,kdp/variant/positional,𧒱
䘜,kdp/variant/positional,𧙙
䘟,kdp/variant/positional,𧘨
䙟,kdp/variant/positional,𧝕
䚅,kdp/variant/positional,𧡛
䚎,kdp/variant/positional,𧢆
䚣,kdp/variant/positional,𧤘
䛄,kdp/variant/positional,𧧁
䛗,kdp/variant/positional,𧧰
䜏,kdp/variant/positional,䜐
䜾,kdp/variant/positional,𧯹
䝌,kdp/variant/positional,𧱝
䟅,kdp/variant/positional,𧽯
䡕,kdp/variant/positional,𨋬
䡞,kdp/variant/positional,𨍄
䡾,kdp/variant/positional,𨏾
䣕,kdp/variant/positional,䧞
䣬,kdp/variant/positional,𨟶
䣲,kdp/variant/positional,𨠢
䣵,kdp/variant/positional,𨠧
䣸,kdp/variant/positional,𨠲
䣹,kdp/variant/positional,𨠰
䤇,kdp/variant/positional,𨡻
䤹,kdp/variant/positional,𨨿
䧉,kdp/variant/positional,𨛋
䨲,kdp/variant/positional,𩆟
䩉,kdp/variant/positional,𩈨
䩊,kdp/variant/positional,𩈱
䩜,kdp/variant/positional,𩊄
䪡,kdp/variant/positional,䪢
䪡,kdp/variant/positional,䪢
䪤,kdp/variant/positional,𩐏
䪾,kdp/variant/positional,𩒉
䫇,kdp/variant/positional,𩒹
䫨,kdp/variant/positional,𩕀
䫰,kdp/variant/positional,𩕔
䫺,kdp/variant/positional,𩖢
䬇,kdp/variant/positional,䬈
䬐,kdp/variant/positional,𩗯
䬝,kdp/variant/positional,𩙁
䬟,kdp/variant/positional,𩙔
䭬,kdp/variant/positional,𩠜
䭴,kdp/variant/positional,𩡪
䮃,kdp/variant/positional,𩢧
䮋,kdp/variant/positional,𩢾
䮦,kdp/variant/positional,𩥊
䮵,kdp/variant/positional,𩦍
䰡,kdp/variant/positional,𩲫
䰩,kdp/variant/positional,𩴀
䰪,kdp/variant/positional,𩴎
䰬,kdp/variant/positional,𩴢
䰯,kdp/variant/positional,𩴷
䰰,kdp/variant/positional,𩴶
䱫,kdp/variant/positional,鯻
䱹,kdp/variant/positional,𩺃
䲁,kdp/variant/positional,𩻍
䲒,kdp/variant/positional,𩼠
䲚,kdp/variant/positional,𩽓
䲥,kdp/variant/positional,𩾛
䲮,kdp/variant/positional,䲶
䲸,kdp/variant/positional,𩾴
䲹,kdp/variant/positional,𪀇
䲾,kdp/variant/positional,𩿸
䳁,kdp/variant/positional,䳊
䳄,kdp/variant/positional,鴜
䳅,kdp/variant/positional,𩿦
䳈,kdp/variant/positional,𪀀
䳎,kdp/variant/positional,䳔
䳑,kdp/variant/positional,𫚸
䳗,kdp/variant/positional,䳘
䳟,kdp/variant/positional,𪂡
䳤,kdp/variant/positional,𪂟
䳦,kdp/variant/positional,𪃗
䳧,kdp/variant/positional,𪃶
䳰,kdp/variant/positional,𪃁
䳵,kdp/variant/positional,𪄪
䳷,kdp/variant/positional,𪅜
䴀,kdp/variant/positional,𪆏
䴉,kdp/variant/positional,䴋
䴏,kdp/variant/positional,𪈏
䴫,kdp/variant/positional,𪋪
䴻,kdp/variant/positional,𪍆
䵅,kdp/variant/positional,𪍮
䵉,kdp/variant/positional,𪎨
䵍,kdp/variant/positional,𪏆
䵶,kdp/variant/positional,𪓞
䵶,kdp/variant/positional,𪓟
䵷,kdp/variant/positional,鼃
䶅,kdp/variant/positional,𪕘
䶆,kdp/variant/positional,𪕪
䶏,kdp/variant/positional,𪖦
䶛,kdp/variant/positional,𪗿
䶝,kdp/variant/positional,𪘘
䶠,kdp/variant/positional,䶢
䶤,kdp/variant/positional,𩪲
䶬,kdp/variant/positional,𪚜
䶱,kdp/variant/positional,𪚽
乸,kdp/variant/positional,毑
众,kdp/variant/positional,㐺
兺,kdp/variant/positional,哛
劙,kdp/variant/positional,蠫
劤,kdp/variant/positional,𣂒
劰,kdp/variant/positional,𠡈
劼,kdp/variant/positional,㔛
勇,kdp/variant/positional,勈
勊,kdp/variant/positional,勀
勛,kdp/variant/positional,𠢋
募,kdp/variant/positional,𠢓
勰,kdp/variant/positional,𢣢
匙,kdp/variant/positional,㔭
卼,kdp/variant/positional,𠨜
叴,kdp/variant/positional,㕤
叾,kdp/variant/positional,𠮩
吁,kdp/variant/positional,𠯊
吟,kdp/variant/positional,含
吢,kdp/variant/positional,吣
否,kdp/variant/positional,吥
吶,kdp/variant/positional,㕯
吻,kdp/variant/positional,𠯳
呣,kdp/variant/positional,𠰔
呬,kdp/variant/positional,𠰝
呰,kdp/variant/positional,呲
和,kdp/variant/positional,咊
咏,kdp/variant/positional,𠰦
咮,kdp/variant/positional,𠱒
唇,kdp/variant/positional,㖘
唽,kdp/variant/positional,𠵍
啈,kdp/variant/positional,𪡒
啉,kdp/variant/positional,𠵂
啎,kdp/variant/positional,𠵦
啓,kdp/variant/positional,啟
啔,kdp/variant/positional,𠶶
啵,kdp/variant/positional,𠴸
喭,kdp/variant/positional,𠷗
嗀,kdp/variant/positional,𣪥
嗎,kdp/variant/positional,𠺎
嗷,kdp/variant/positional,嗸
嗼,kdp/variant/positional,𠻚
嘁,kdp/variant/positional,㗤
噅,kdp/variant/positional,噕
噍,kdp/variant/positional,𨿞
嚉,kdp/variant/positional,𡁨
圡,kdp/variant/positional,𡈽
圱,kdp/variant/positional,圲
坂,kdp/variant/positional,𡊃
均,kdp/variant/positional,𡉲
坉,kdp/variant/positional,𡉫
坌,kdp/variant/positional,坋
坏,kdp/variant/positional,𡉤
坒,kdp/variant/positional,㘩
坪,kdp/variant/positional,𡊞
坭,kdp/variant/positional,𡊴
坵,kdp/variant/positional,𡊣
坸,kdp/variant/positional,𡊦
垄,kdp/variant/positional,垅
垠,kdp/variant/positional,垦
垡,kdp/variant/positional,㘺
垩,kdp/variant/positional,垭
垬,kdp/variant/positional,𡋍
垵,kdp/variant/positional,𡋅
埜,kdp/variant/positional,𡍚
域,kdp/variant/positional,𡌳
埴,kdp/variant/positional,𡌴
基,kdp/variant/positional,㙋
埿,kdp/variant/positional,𪣮
堊,kdp/variant/positional,埡
堚,kdp/variant/positional,𡍦
堡,kdp/variant/positional,堢
堵,kdp/variant/positional,𡎉
堼,kdp/variant/positional,𡎈
塈,kdp/variant/positional,𡏲
塩,kdp/variant/positional,𥂁
塱,kdp/variant/positional,㙟
塷,kdp/variant/positional,𪉖
塹,kdp/variant/positional,𡐛
墍,kdp/variant/positional,𡏲
墏,kdp/variant/positional,𪤖
墓,kdp/variant/positional,塻
墜,kdp/variant/positional,𡑖
墩,kdp/variant/positional,墪
墮,kdp/variant/positional,𡐦
墴,kdp/variant/positional,𡐳
墺,kdp/variant/positional,𡒃
壁,kdp/variant/positional,壀
壂,kdp/variant/positional,𡑴
壅,kdp/variant/positional,㙲
壘,kdp/variant/positional,㙼
壟,kdp/variant/positional,壠
夙,kdp/variant/positional,𣦽
多,kdp/variant/positional,𡖇
够,kdp/variant/positional,夠
夥,kdp/variant/positional,㚌
失,kdp/variant/positional,𠂕
夶,kdp/variant/positional,㚐
夷,kdp/variant/positional,𡗝
夷,kdp/variant/positional,𢎴
奇,kdp/variant/positional,𡘀
奺,kdp/variant/positional,𡚮
奺,kdp/variant/positional,𡚰
好,kdp/variant/positional,𡥃
奿,kdp/variant/positional,𡚺
妁,kdp/variant/positional,𡚷
妘,kdp/variant/positional,𡛍
妞,kdp/variant/positional,𡚽
妢,kdp/variant/positional,𡛑
妯,kdp/variant/positional,𡛽
姃,kdp/variant/positional,𡛵
姅,kdp/variant/positional,𡛤
姓,kdp/variant/positional,𤯕
姙,kdp/variant/positional,𡜟
姛,kdp/variant/positional,𡜝
姞,kdp/variant/positional,𡜩
姻,kdp/variant/positional,𡜭
娋,kdp/variant/positional,𡜽
娎,kdp/variant/positional,𡝊
娕,kdp/variant/positional,𡝁
娠,kdp/variant/positional,𡝌
娨,kdp/variant/positional,𡝎
娵,kdp/variant/positional,娶
娹,kdp/variant/positional,婱
婀,kdp/variant/positional,娿
婓,kdp/variant/positional,婔
婚,kdp/variant/positional,𡝪
婦,kdp/variant/positional,𡞒
婪,kdp/variant/positional,㛦
媝,kdp/variant/positional,𡟊
媨,kdp/variant/positional,𡞜
嫟,kdp/variant/positional,𡠷
嫩,kdp/variant/positional,𡠼
嫪,kdp/variant/positional,𡠢
嫫,kdp/variant/positional,𡠜
嫳,kdp/variant/positional,𡡹
嫷,kdp/variant/positional,𡡙
嬎,kdp/variant/positional,𡢎
嬿,kdp/variant/positional,𡤈
孌,kdp/variant/positional,𡤣
孌,kdp/variant/positional,𡤨
孜,kdp/variant/positional,𢻯
尛,kdp/variant/positional,𡭯
届,kdp/variant/positional,𡱋
屘,kdp/variant/positional,𡱬
屴,kdp/variant/positional,𡴽
屹,kdp/variant/positional,𪨣
屻,kdp/variant/positional,岃
屻,kdp/variant/positional,𡵑
屼,kdp/variant/positional,𡵉
岆,kdp/variant/positional,岙
岇,kdp/variant/positional,𡵙
岉,kdp/variant/positional,𡵶
岊,kdp/variant/positional,岜
岊,kdp/variant/positional,𡵟
岌,kdp/variant/positional,岋
岑,kdp/variant/positional,岒
岓,kdp/variant/positional,𡵱
岕,kdp/variant/positional,𡵚
岜,kdp/variant/positional,𡵟
岝,kdp/variant/positional,岞
岢,kdp/variant/positional,㞹
岦,kdp/variant/positional,𡶧
岧,kdp/variant/positional,岹
岪,kdp/variant/positional,𡶒
岲,kdp/variant/positional,𡶢
岳,kdp/variant/positional,岴
岳,kdp/variant/positional,𡶦
岴,kdp/variant/positional,𡶦
岵,kdp/variant/positional,𠰛
岷,kdp/variant/positional,𡶗
岷,kdp/variant/positional,𡶘
岸,kdp/variant/positional,㟁
岺,kdp/variant/positional,岭
峁,kdp/variant/positional,𪨫
峂,kdp/variant/positional,𡶞
峇,kdp/variant/positional,峆
峉,kdp/variant/positional,峈
峊,kdp/variant/positional,𡶫
峎,kdp/variant/positional,𡷐
峒,kdp/variant/positional,峝
峘,kdp/variant/positional,𡷆
峛,kdp/variant/positional,峢
峥,kdp/variant/positional,𡸵
峨,kdp/variant/positional,峩
峮,kdp/variant/positional,㟒
峯,kdp/variant/positional,峰
峲,kdp/variant/positional,𡸉
峸,kdp/variant/positional,𡷫
峸,kdp/variant/positional,𪨯
峹,kdp/variant/positional,𡷣
峹,kdp/variant/positional,𡸂
峼,kdp/variant/positional,𡷥
崀,kdp/variant/positional,㟍
崆,kdp/variant/positional,𡹝
崇,kdp/variant/positional,崈
崇,kdp/variant/positional,𡸶
崈,kdp/variant/positional,𡸶
崊,kdp/variant/positional,𡹇
崊,kdp/variant/positional,𡹚
崎,kdp/variant/positional,㟢
崑,kdp/variant/positional,崐
崒,kdp/variant/positional,崪
崔,kdp/variant/positional,𡹐
崖,kdp/variant/positional,崕
崗,kdp/variant/positional,㟠
崘,kdp/variant/positional,崙
崚,kdp/variant/positional,𡹃
崛,kdp/variant/positional,崫
崝,kdp/variant/positional,𡸺
崢,kdp/variant/positional,𡸵
崣,kdp/variant/positional,𡹜
崦,kdp/variant/positional,𡹛
崧,kdp/variant/positional,㟣
崨,kdp/variant/positional,𡹈
崩,kdp/variant/positional,𡹔
崮,kdp/variant/positional,崓
崰,kdp/variant/positional,𡸟
崱,kdp/variant/positional,𡺢
崲,kdp/variant/positional,𪩅
崳,kdp/variant/positional,嵛
崷,kdp/variant/positional,𡺚
崼,kdp/variant/positional,𡺔
崼,kdp/variant/positional,𪩃
崿,kdp/variant/positional,㟧
嵆,kdp/variant/positional,嵇
嵆,kdp/variant/positional,嵇
嵆,kdp/variant/positional,嵇
嵉,kdp/variant/positional,𡺣
嵎,kdp/variant/positional,𡺥
嵒,kdp/variant/positional,嵓
嵕,kdp/variant/positional,嵏
嵜,kdp/variant/positional,﨑
嵡,kdp/variant/positional,𡻐
嵮,kdp/variant/positional,𡻗
嵯,kdp/variant/positional,嵳
嵲,kdp/variant/positional,𡺼
嵵,kdp/variant/positional,𡻄
嵺,kdp/variant/positional,𡻪
嵻,kdp/variant/positional,𡻚
嵾,kdp/variant/positional,㠁
嶁,kdp/variant/positional,㟺
嶃,kdp/variant/positional,㟻
嶄,kdp/variant/positional,㟻
嶄,kdp/variant/positional,嶃
嶋,kdp/variant/positional,㠀
嶋,kdp/variant/positional,嶌
嶌,kdp/variant/positional,㠀
嶍,kdp/variant/positional,㠄
嶒,kdp/variant/positional,𡼳
嶔,kdp/variant/positional,𡼲
嶕,kdp/variant/positional,嶣
嶙,kdp/variant/positional,𡼵
嶛,kdp/variant/positional,嶚
嶠,kdp/variant/positional,㠐
嶡,kdp/variant/positional,嶥
嶢,kdp/variant/positional,嶤
嶫,kdp/variant/positional,嶪
嶬,kdp/variant/positional,㠖
嶮,kdp/variant/positional,𡽗
嶰,kdp/variant/positional,𡽖
嶴,kdp/variant/positional,㠗
嶵,kdp/variant/positional,㠑
嶷,kdp/variant/positional,㠜
嶺,kdp/variant/positional,𡽹
嶻,kdp/variant/positional,𡽱
嶼,kdp/variant/positional,㠘
嶼,kdp/variant/positional,𡽬
嶽,kdp/variant/positional,𡽺
嶾,kdp/variant/positional,𡽸
巃,kdp/variant/positional,巄
巃,kdp/variant/positional,𡾩
巄,kdp/variant/positional,𡾩
巊,kdp/variant/positional,𡾸
巍,kdp/variant/positional,𡿁
巑,kdp/variant/positional,𡿍
巖,kdp/variant/positional,巗
巘,kdp/variant/positional,巚
巹,kdp/variant/positional,𢀷
帉,kdp/variant/positional,𢁥
帒,kdp/variant/positional,𢂌
帬,kdp/variant/positional,𢂽
帬,kdp/variant/positional,𢃆
帺,kdp/variant/positional,𢃛
幐,kdp/variant/positional,㬺
幕,kdp/variant/positional,幙
幠,kdp/variant/positional,𢅊
幻,kdp/variant/positional,𢆱
幼,kdp/variant/positional,𢆲
彙,kdp/variant/positional,𢑥
影,kdp/variant/positional,𢒬
忹,kdp/variant/positional,𢗖
悳,kdp/variant/positional,惪
憩,kdp/variant/positional,𢠾
憩,kdp/variant/positional,𦧰
懡,kdp/variant/positional,𢣗
戇,kdp/variant/positional,𢦀
戒,kdp/variant/positional,𢌵
戜,kdp/variant/positional,𢧄
戺,kdp/variant/positional,𢨪
房,kdp/variant/positional,𢨲
执,kdp/variant/positional,𢩾
拿,kdp/variant/positional,㧱
摩,kdp/variant/positional,𪎚
斣,kdp/variant/positional,𣂌
旤,kdp/variant/positional,𣄸
旭,kdp/variant/positional,旮
旭,kdp/variant/positional,旯
旮,kdp/variant/positional,旯
旺,kdp/variant/positional,𣅨
昃,kdp/variant/positional,𣅦
昇,kdp/variant/positional,𣅮
昉,kdp/variant/positional,昘
昊,kdp/variant/positional,昋
昗,kdp/variant/positional,𣅶
昞,kdp/variant/positional,昺
映,kdp/variant/positional,𪰔
昢,kdp/variant/positional,𣅽
昶,kdp/variant/positional,㫤
昶,kdp/variant/positional,昹
昶,kdp/variant/positional,㫤
昹,kdp/variant/positional,㫤
昹,kdp/variant/positional,㫤
晁,kdp/variant/positional,晀
時,kdp/variant/positional,㫭
時,kdp/variant/positional,𪰛
晃,kdp/variant/positional,晄
晃,kdp/variant/positional,𣆤
晃,kdp/variant/positional,𣆥
晄,kdp/variant/positional,𣆤
晄,kdp/variant/positional,𣆥
晌,kdp/variant/positional,晑
晏,kdp/variant/positional,㫨
晟,kdp/variant/positional,晠
晢,kdp/variant/positional,晣
晢,kdp/variant/positional,𣇄
晨,kdp/variant/positional,㫳
晩,kdp/variant/positional,𣆶
晪,kdp/variant/positional,𣇺
晰,kdp/variant/positional,晳
晸,kdp/variant/positional,𪰱
晽,kdp/variant/positional,𣇰
晽,kdp/variant/positional,𣈅
暌,kdp/variant/positional,𣉉
暖,kdp/variant/positional,㬊
暫,kdp/variant/positional,𣊙
暮,kdp/variant/positional,暯
暼,kdp/variant/positional,𣊶
曄,kdp/variant/positional,曅
曇,kdp/variant/positional,𣊯
曠,kdp/variant/positional,𣋷
曣,kdp/variant/positional,㬫
曩,kdp/variant/positional,𪱒
朄,kdp/variant/positional,𣍃
朆,kdp/variant/positional,㬟
朔,kdp/variant/positional,𣍮
朗,kdp/variant/positional,朖
朧,kdp/variant/positional,𦢫
朶,kdp/variant/positional,㭁
杒,kdp/variant/positional,𣏉
杗,kdp/variant/positional,杧
杼,kdp/variant/positional,𣏗
松,kdp/variant/positional,枀
松,kdp/variant/positional,枩
构,kdp/variant/positional,𠣛
枇,kdp/variant/positional,枈
枌,kdp/variant/positional,𣏰
枙,kdp/variant/positional,𣐃
枟,kdp/variant/positional,𣐂
枩,kdp/variant/positional,枀
柅,kdp/variant/positional,𣐉
柋,kdp/variant/positional,㭖
柮,kdp/variant/positional,𠚐
柮,kdp/variant/positional,𣐯
栛,kdp/variant/positional,𠡷
栠,kdp/variant/positional,栣
栤,kdp/variant/positional,𣑏
栨,kdp/variant/positional,栥
栰,kdp/variant/positional,𣑡
栱,kdp/variant/positional,㭟
桃,kdp/variant/positional,𣑯
案,kdp/variant/positional,桉
桐,kdp/variant/positional,𣑸
桫,kdp/variant/positional,桬
桽,kdp/variant/positional,㭫
梀,kdp/variant/positional,𣒛
梅,kdp/variant/positional,𣒫
條,kdp/variant/positional,𣒼
梨,kdp/variant/positional,梸
棋,kdp/variant/positional,棊
森,kdp/variant/positional,𣓏
棴,kdp/variant/positional,𣔚
棷,kdp/variant/positional,棸
棻,kdp/variant/positional,𣔄
椔,kdp/variant/positional,𣓩
椖,kdp/variant/positional,𣓯
椥,kdp/variant/positional,𣔇
椯,kdp/variant/positional,𣖃
椿,kdp/variant/positional,𣕮
楑,kdp/variant/positional,𣔽
楘,kdp/variant/positional,㮘
概,kdp/variant/positional,槩
榇,kdp/variant/positional,𣕟
榖,kdp/variant/positional,𣖫
槁,kdp/variant/positional,槀
槃,kdp/variant/positional,㮽
槄,kdp/variant/positional,𤔥
槊,kdp/variant/positional,㮶
槩,kdp/variant/positional,槪
槱,kdp/variant/positional,𪳝
槲,kdp/variant/positional,𣘳
槷,kdp/variant/positional,槸
樃,kdp/variant/positional,㮾
樧,kdp/variant/positional,榝
橇,kdp/variant/positional,㯔
橛,kdp/variant/positional,橜
橢,kdp/variant/positional,㯐
橤,kdp/variant/positional,𣛚
檃,kdp/variant/positional,𨽌
檃,kdp/variant/positional,𨽌
檄,kdp/variant/positional,𣜥
檗,kdp/variant/positional,檘
檠,kdp/variant/positional,㯳
檤,kdp/variant/positional,𣜦
檮,kdp/variant/positional,𣝷
檿,kdp/variant/positional,𣝓
櫳,kdp/variant/positional,㰍
櫽,kdp/variant/positional,檼
櫾,kdp/variant/positional,𣟾
欄,kdp/variant/positional,𣟬
欇,kdp/variant/positional,𣠞
此,kdp/variant/positional,𣥅
殻,kdp/variant/positional,殼
毘,kdp/variant/positional,毗
毠,kdp/variant/positional,𣭋
毣,kdp/variant/positional,𣭜
毦,kdp/variant/positional,𣭞
毨,kdp/variant/positional,𣭟
毨,kdp/variant/positional,𣭡
毪,kdp/variant/positional,𣭰
毬,kdp/variant/positional,𣭳
毯,kdp/variant/positional,㲜
毱,kdp/variant/positional,𣮕
