radical/variant,<rev>,radical/regular
人,radical/variant,亻,left
人,radical/variant,𠆢,top
刀,radical/variant,刂,right
心,radical/variant,㣺,bottom
手,radical/variant,扌,left
攴,radical/variant,攵,right
木,radical/variant,朩,bottom
水,radical/variant,氺,bottom
水,radical/variant,氵,left
火,radical/variant,灬,bottom
爪,radical/variant,爫,top
牛,radical/variant,牜,left
犬,radical/variant,犭,left
王,radical/variant,𤣩,left
示,radical/variant,礻,left
竹,radical/variant,𥫗,top
糸,radical/variant,糹,left
糸,radical/variant,纟,left
网,radical/variant,罒,top
羊,radical/variant,𦍌,top
肉,radical/variant,月,left
艸,radical/variant,艹,top
衣,radical/variant,衤,left
襾,radical/variant,覀,top
言,radical/variant,訁,left
言,radical/variant,讠,left
足,radical/variant,𧾷,left
辵,radical/variant,辶,left
邑,radical/variant,阝,right
金,radical/variant,釒,left
金,radical/variant,钅,left
阜,radical/variant,阝,left
食,radical/variant,飠,left
食,radical/variant,饣,left
食,radical/variant,𩙿,left
𠦝,radical/variant,龺,left
䜌,radical/variant,龻,top
𠔉,radical/variant,龹,top
