U+06B4E	U+05606
U+060E3	U+07DCF
U+05283	U+0753B
U+05B8F	U+05E83
U+068C9	U+07DBF
U+09394	U+06EB6
U+07194	U+06EB6
U+063A0	U+07565
U+0806F	U+09023
U+095C7	U+06697
U+05ED3	U+090ED
U+07A00	U+05E0C
U+05147	U+051F6
U+07D43	U+05F26
U+05016	U+05E78
U+05750	U+05EA7
U+06D32	U+05DDE
U+08F2F	U+096C6
U+0667A	U+077E5
U+08A3B	U+06CE8
U+053DB	U+053CD
U+07BC7	U+07DE8
U+08F14	U+088DC
U+06478	U+06A21
U+0617E	U+06B32
U+08AD2	U+04E86
U+06CAE	U+0963B
U+092B7	U+06D88
U+08E5F	U+08DE1
U+08AA1	U+06212
U+05EFB	U+056DE
U+07578	U+05947
U+07CFA	U+07CFE
U+099AD	U+05FA1
U+08B83	U+08CDB
U+0965E	U+06607
U+07130	U+0708E
U+07114	U+0708E	# asahi
U+08E48	U+08E0F
U+280BB	U+08E0F	# asahi
U+06B7F	U+06CA1
U+06B81	U+06CA1	# asahi
U+07926	U+09271
U+0783F	U+09271	# asahi
U+08F1B	U+04E21
U+08F0C	U+04E21	# asahi
U+06F70	U+058CA	# context-dependent
U+081C6	U+061B6	# context-dependent
U+08755	U+098DF	# context-dependent
U+0717D	U+06247	# context-dependent
U+05E16	U+05E33	# context-dependent
U+078D0	U+076E4	# context-dependent
U+065F1	U+05E72	# context-dependent
U+0983D	U+09000	# context-dependent
U+04F5A	U+09038	# context-dependent
U+07FF3	U+05F71	# context-dependent
U+08AA6	U+05531	# context-dependent
U+06309	U+06848	# context-dependent
U+056AE	U+05411	# context-dependent
U+085C9	U+08B1D	# context-dependent
U+088F3	U+088C5	# context-dependent
U+0633A	U+04E01	# context-dependent
U+09834	U+082F1	# context-dependent
U+063A9	U+063F4	# context-dependent
U+082D1	U+05712	# context-dependent
U+08ABC	U+07FA9	# context-dependent
U+053E1	U+082F1	# context-dependent
U+086D4	U+056DE	# context-dependent
U+06FF6	U+06D3B	# context-dependent
U+08755	U+098DF	# context-dependent
U+0947F	U+0524A	# context-dependent
U+06062	U+056DE	# context-dependent
U+0630C	U+0683C	# context-dependent
U+06B47	U+06B20	# context-dependent
U+0814E	U+05FC3	# context-dependent
U+06E9C	U+07559	# context-dependent
U+09951	U+098E2	# context-dependent
U+05FBD	U+08A18	# context-dependent
U+07DBA	U+05947	# context-dependent
U+05403	U+055AB	# context-dependent
U+09957	U+04F9B	# context-dependent
U+08AA8	U+06212	# context-dependent
U+0978F	U+05F37	# context-dependent
U+071FB	U+085AB	# context-dependent
U+0524B	U+0514B	# context-dependent
U+08E76	U+06C7A	# context-dependent
U+08A23	U+06C7A	# context-dependent
U+05CA8	U+0963B	# context-dependent
U+078E8	U+06469	# context-dependent
U+09BC1	U+0786C	# context-dependent
U+09A69	U+06B53	# context-dependent
U+053C9	U+05DEE	# context-dependent
U+06263	U+063A7	# context-dependent
U+07526	U+066F4	# context-dependent
U+05960	U+05178	# context-dependent
U+06602	U+09AD8	# context-dependent
U+06602	U+08208	# context-dependent
U+04EA2	U+08208	# context-dependent
U+06C4E	U+07BC4	# context-dependent
U+05F18	U+05E83	# context-dependent
