U+04E23	U+2B741
U+04E2A	U+04E87
U+04E3D	U+209E5
U+04E45	U+2B744
U+04E4B	U+21CFF
U+04E54	U+215E4
U+04EA6	U+0470C
U+04ECA	U+2B746
U+04FFF	U+202A4
U+05009	U+2B749
U+05022	U+0507C
U+050B3	U+2B74A
U+050CA	U+034A8
U+050CA	U+20457
U+0514B	U+21C40
U+05168	U+204F3
U+051DE	U+20611
U+0523E	U+034E8
U+0524D	U+2B750
U+0527A	U+207B2
U+05283	U+034F0
U+052C0	U+052CA
U+052E2	U+2B751
U+05347	U+26AF5
U+05354	U+2B753
U+0535D	U+05375
U+0536E	U+20A17
U+05384	U+20098
U+0539A	U+2B757
U+053EA	U+06220
U+053F0	U+067B1
U+05409	U+20BB7
U+05437	U+06B60
U+05442	U+08182
U+054C1	U+20BEE
U+05547	U+0557B
U+05551	U+20E1D
U+055AE	U+209A4
U+055C0	U+23AA5
U+05648	U+23936
U+056B4	U+2B75D
U+056B5	U+2115B
U+056C3	U+20C5E
U+056EA	U+056F1
U+05705	U+26956
U+0572E	U+2124F
U+0572F	U+2124F
U+05815	U+2B761
U+0582F	U+2B754
U+05839	U+2B75F
U+058C7	U+2B760
U+058C8	U+21484
U+058E3	U+2A91A
U+0590D	U+03686
U+05971	U+20B96
U+05A55	U+05AAB
U+05A5A	U+21580
U+05AD5	U+227C7
U+05AFA	U+21883
U+05B2A	U+218D5
U+05B37	U+216B8
U+05B5F	U+21940
U+05B78	U+2B76F
U+05BE7	U+2B771
U+05C09	U+03DC9
U+05C12	U+21B57
U+05C2E	U+21BE6
U+05C32	U+21C09
U+05C3B	U+2B772
U+05C79	U+2AA26
U+05CA1	U+2B74D
U+05CF6	U+21DCA
U+05DDF	U+03829
U+05DE0	U+22016
U+05DE8	U+22013
U+05E50	U+03B3A
U+05E77	U+22199
U+05EA7	U+2B776
U+05EA7	U+2B777
U+05EB5	U+2228A
U+05ECF	U+222C1
U+05EF7	U+2231C
U+05F18	U+2239E
U+05F66	U+2B778
U+05F92	U+27E94
U+05FF5	U+2B779
U+060AA	U+22663
U+060E0	U+20004
U+061DC	U+227FC
U+0620B	U+039AE
U+06230	U+229D0
U+06240	U+2B742
U+06262	U+039C9
U+06286	U+22A9B
U+06291	U+20A14
U+062D4	U+039DE
U+06323	U+06399
U+06377	U+03A17
U+06378	U+22E00
U+063EF	U+06404
U+0641C	U+06449
U+06482	U+03A3C
U+0648A	U+22D67
U+0649E	U+2B77F
U+064A5	U+2B77C
U+064AB	U+2B7B6
U+064D5	U+0651C
U+064DA	U+03A40
U+064EF	U+22DE4
U+0654B	U+22F1B
U+06565	U+22F7B
U+06567	U+22F7D
U+06568	U+03A97
U+0656D	U+22F99
U+06571	U+06573
U+06574	U+22FEB
U+06578	U+22FD9
U+0657B	U+22FCC
U+0657D	U+0657F
U+06587	U+065F9
U+065BB	U+230DA
U+065CF	U+2B780
U+065E8	U+20914
U+0661C	U+200D3
U+06634	U+231BB
U+06649	U+2B784
U+066DA	U+232E1
U+066DC	U+2B782
U+0677B	U+2B788
U+067E1	U+06810
U+067ED	U+22B0C
U+067ED	U+2342A
