U+04E9C	U+04E9E
U+060AA	U+060E1
U+070BA	U+07232
U+09038	U+0FA67
U+06804	U+069AE
U+0885B	U+0885E
U+08B01	U+0FA62
U+05186	U+05713
U+07E01	U+07DE3
U+05712	U+08597
U+05FDC	U+061C9
U+0685C	U+06AFB
U+05965	U+05967
U+06A2A	U+06A6B
U+06E29	U+06EAB
U+04FA1	U+050F9
U+0798D	U+0FA52
U+06094	U+0FA3D
U+06D77	U+0FA45
U+058CA	U+058DE
U+061D0	U+061F7
U+0697D	U+06A02
U+06E07	U+06E34
U+05DFB	U+05377
U+09665	U+09677
U+05BDB	U+05BEC
U+06F22	U+0FA47
U+06C17	U+06C23
U+07948	U+0FA4E
U+05668	U+0FA38
U+0507D	U+050DE
U+0622F	U+06232
U+0865A	U+0865B
U+05CE1	U+05CFD
U+072ED	U+072F9
U+097FF	U+0FA69
U+06681	U+066C9
U+052E4	U+0FA34
U+08B39	U+0FA63
U+099C6	U+099C8
U+052F2	U+052F3
U+085AB	U+085B0
U+06075	U+060E0
U+063B2	U+063ED
U+09D8F	U+09DC4
U+082B8	U+085DD
U+06483	U+064CA
U+0770C	U+07E23
U+05039	U+05109
U+05263	U+0528D
U+0967A	U+096AA
U+0570F	U+05708
U+0691C	U+06AA2
U+09855	U+0986F
U+09A13	U+09A57
U+053B3	U+056B4
U+05E83	U+05EE3
U+06052	U+06046
U+09EC4	U+09EC3
U+056FD	U+0570B
U+09ED2	U+09ED1
U+07A40	U+0FA54
U+07815	U+0788E
U+096D1	U+096DC
U+07949	U+0FA4D
U+08996	U+0FA61
U+05150	U+05152
U+06E7F	U+06FD5
U+05B9F	U+05BE6
U+0793E	U+0FA4C
U+08005	U+0FA5B
U+0716E	U+0FA48
U+05BFF	U+058FD
U+053CE	U+06536
U+081ED	U+0FA5C
U+05F93	U+05F9E
U+06E0B	U+06F81
U+07363	U+07378
U+07E26	U+07E31
U+0795D	U+0FA51
U+06691	U+0FA43
U+07F72	U+0FA5A
U+07DD2	U+07DD6
U+08AF8	U+0FA22
U+053D9	U+0654D
U+05C06	U+05C07
U+07965	U+0FA1A
U+06E09	U+06D89
U+0713C	U+071D2
U+05968	U+0596C
U+06761	U+0689D
U+072B6	U+072C0
U+04E57	U+04E58
U+06D44	U+06DE8
U+05270	U+05269
U+07573	U+0758A
U+05B22	U+05B43
U+08B72	U+08B93
U+091B8	U+091C0
U+0795E	U+0FA19
U+0771F	U+0771E
U+05BDD	U+05BE2
U+0614E	U+0613C
U+05C3D	U+076E1
U+07C8B	U+07CB9
U+09154	U+09189
U+07A42	U+07A57
U+0702C	U+07028
U+06589	U+09F4A
U+09759	U+0975C
U+06442	U+0651D
U+07BC0	U+0FA56
U+05C02	U+05C08
U+06226	U+06230
U+07E4A	U+07E96
U+07985	U+079AA
U+07956	U+0FA50
U+058EE	U+058EF
U+04E89	U+0722D
U+08358	U+0838A
U+0635C	U+0641C
U+05DE3	U+05DE2
U+088C5	U+088DD
U+050E7	U+0FA31
U+05C64	U+0FA3B
U+09A12	U+09A37
U+05897	U+0589E
U+0618E	U+0FA3F
U+08535	U+085CF
U+08D08	U+0FA65
U+081D3	U+081DF
U+05373	U+0537D
U+05E2F	U+05E36
U+06EDE	U+06EEF
U+06EDD	U+07027
U+05358	U+055AE
U+05606	U+0FA37
U+056E3	U+05718
U+05F3E	U+05F48
U+0663C	U+0665D
U+092F3	U+09444
U+08457	U+0FA5F
U+05E81	U+05EF3
U+05FB4	U+05FB5
U+08074	U+0807D
U+061F2	U+0FA40
U+093AE	U+093AD
U+08EE2	U+08F49
U+04F1D	U+050B3
U+090FD	U+0FA26
U+05CF6	U+05D8B
U+0706F	U+071C8
U+076D7	U+076DC
U+07A32	U+07A3B
U+05FB3	U+05FB7
U+07A81	U+0FA55
U+096E3	U+0FA68
U+062DD	U+062DC
U+0676F	U+076C3
U+058F2	U+08CE3
U+06885	U+0FA44
U+09AEA	U+09AEE
U+0629C	U+062D4
U+07E41	U+07E6B
U+06669	U+0665A
U+05351	U+0FA35
U+079D8	U+07955
U+07891	U+0FA4B
U+08CD3	U+0FA64
U+0654F	U+0FA41
U+05BCC	U+051A8
U+04FAE	U+0FA30
U+0798F	U+0FA1B
U+06255	U+062C2
U+04ECF	U+04F5B
U+052C9	U+0FA33
U+06B69	U+06B65
U+05CF0	U+05CEF
U+058A8	U+0FA3A
U+07FFB	U+098DC
U+06BCE	U+06BCF
U+04E07	U+0842C
U+09ED9	U+09ED8
U+091CE	U+057DC
U+085AC	U+085E5
U+04E0E	U+08207
U+063FA	U+06416
U+069D8	U+06A23
U+08B21	U+08B20
U+06765	U+04F86
U+0983C	U+08CF4
U+089A7	U+089BD
U+06B04	U+0F91D
U+07ADC	U+09F8D
U+0865C	U+0F936
U+06DBC	U+051C9
U+07DD1	U+07DA0
U+06D99	U+06DDA
U+05841	U+058D8
U+0985E	U+0F9D0
U+0793C	U+079AE
U+066A6	U+066C6
U+06B74	U+06B77
U+07DF4	U+0FA57
U+0932C	U+0934A
U+090CE	U+090DE
U+06717	U+0F929
U+05ECA	U+0F928
U+09332	U+09304
