U+2548E	U+0788A
U+25AE3	U+07C45
U+27BC7	U+08C45
U+212D7	U+2146D
U+03861	U+05E6E
U+042C6	U+07E91
U+04D77	U+09F03
U+04E00	U+05F0C
U+04E07	U+0842C
U+04E08	U+2000B
U+04E0E	U+08207
U+04E11	U+04E12
U+04E16	U+04E17
U+04E21	U+05169
U+04E26	U+07ADD
U+04E57	U+04E58
U+04E71	U+04E82
U+04E80	U+09F9C
U+04E88	U+08C6B
U+04E89	U+0722D
U+04E8B	U+04E8A
U+04E8C	U+05F0D
U+04E98	U+04E99
U+04E9C	U+04E9E
U+04E9F	U+0710F
U+04EAC	U+04EB0
U+04ECF	U+04F5B
U+04EDD	U+0540C
U+04EDE	U+04EED
U+04EEE	U+05047
U+04F1A	U+06703
U+04F1C	U+05005
U+04F1D	U+050B3
U+04F47	U+07ADA
U+04F59	U+09918
U+04F5C	U+0505A
U+04F5E	U+04FAB
U+04F60	U+0511E
U+04F75	U+05002
U+04FA0	U+04FE0
U+04FA1	U+050F9
U+04FAD	U+05118
U+04FAE	U+0FA30
U+04FCE	U+0723C
U+04FE3	U+03468
U+05006	U+20213
U+0500F	U+05010
U+05036	U+04FF1
U+05039	U+05109
U+0507D	U+050DE
U+05098	U+04ED0
U+0509A	U+04FF2
U+050CA	U+050F2
U+050CD	U+04EC2
U+050E3	U+050ED
U+050E7	U+0FA31
U+05114	U+04FE6
U+05115	U+0346A
U+0513C	U+2044A
U+0514C	U+0514A
U+0514D	U+0FA32
U+0514E	U+05154
U+05150	U+05152
U+0515A	U+09EE8
U+0515C	U+05160
U+05186	U+05713
U+0518A	U+0518C
U+05192	U+05190
U+051A3	U+03761
U+051A4	U+05BC3
U+051A6	U+05BC7
U+051AA	U+07F83
U+051BD	U+06D0C
U+051C4	U+06DD2
U+051DB	U+051DC
U+051E1	U+051E2
U+051E6	U+08655
U+051FD	U+051FE
U+05203	U+05204
U+05208	U+082C5
U+0524B	U+05C05
U+05264	U+05291
U+05265	U+0525D
U+05270	U+05269
U+0529F	U+034DB
U+052AB	U+05227
U+052B1	U+052F5
U+052B4	U+052DE
U+052B9	U+06548
U+052C5	U+06555
U+052C7	U+052C8
U+052C9	U+0FA33
U+052E2	U+0351F
U+052E4	U+0FA34
U+052E7	U+052F8
U+052F2	U+052F3
U+052FB	U+05300
U+05306	U+05307
U+0532F	U+06ED9
U+0533A	U+05340
U+0533B	U+091AB
U+05351	U+0FA35
U+05352	U+05346
U+05353	U+0684C
U+05358	U+055AE
U+0536E	U+05DF5
U+0536F	U+05918
U+05373	U+0537D
U+05374	U+0537B
U+05396	U+05EAC
U+053A0	U+05EC1
U+053A6	U+05EC8
U+053A8	U+05EDA
U+053AE	U+05EDD
U+053B3	U+056B4
U+053C2	U+053C3
U+053CC	U+096D9
U+053CE	U+06536
U+053E1	U+0777F
U+053F1	U+20B9F
U+053F7	U+0865F
U+05451	U+0541E
U+0546A	U+05492
U+0548C	U+0548A
U+054A4	U+0549C
U+054AF	U+05580
U+054F2	U+05560
U+05507	U+08123
U+05516	U+0555E
U+05556	U+05557
U+05584	U+08B71
U+0559D	U+0FA36
U+055B6	U+071DF
U+05606	U+0FA37
U+05614	U+05455
U+05617	U+0751E
U+05618	U+05653
U+05629	U+08B41
U+0562F	U+05628
U+05631	U+056D1
U+0565B	U+05699
U+0566A	U+08B5F
U+0568F	U+05694
U+056A2	U+056CA
U+056DE	U+056D8
U+056E3	U+05718
U+056F2	U+0570D
U+056F3	U+05716
U+0570F	U+05708
U+05727	U+058D3
U+05740	U+0962F
U+05742	U+0962A
U+05761	U+09642
U+05782	U+057C0
U+057D2	U+057D3
U+057E3	U+2127B
U+05815	U+058AE
U+0582F	U+05C2D
U+05834	U+05872
U+05840	U+0FA39
U+05841	U+058D8
U+0585A	U+0FA10
U+0586B	U+05861
U+05897	U+0589E
U+058A8	U+0FA3A
U+058A9	U+058AA
U+058BB	U+07246
U+058CA	U+058DE
U+058CC	U+058E4
U+058D7	U+212E4
U+058DA	U+21274
U+058DC	U+07F4E
U+058DF	U+058E0
U+058EE	U+058EF
U+058F0	U+08072
U+058F1	U+058F9
U+058F2	U+08CE3
U+058F7	U+058FA
U+05909	U+08B8A
U+0591A	U+0591B
U+05922	U+068A6
U+05947	U+07AD2
U+05948	U+067F0
U+05958	U+05F09
U+05965	U+05967
U+05969	U+05333
U+0598A	U+059D9
U+0598D	U+059F8
U+059AC	U+05992
U+05AE9	U+05AF0
U+05AFA	U+05AFB
U+05B22	U+05B43
U+05B32	U+05AD0
U+05B7D	U+05B7C
U+05B87	U+219C3
U+05B8D	U+08089
U+05B9C	U+0519D
U+05B9F	U+05BE6
U+05BCC	U+051A8
U+05BDB	U+05BEC
U+05BDD	U+05BE2
U+05BF1	U+041BF
U+05BFE	U+05C0D
U+05BFF	U+058FD
U+05C02	U+05C08
U+05C06	U+05C07
U+05C22	U+05C23
U+05C2B	U+05C29
U+05C3B	U+0378D
U+05C3D	U+076E1
U+05C4A	U+05C46
U+05C4F	U+05C5B
U+05C5E	U+05C6C
U+05C61	U+05C62
U+05C64	U+0FA3B
U+05C6E	U+0FA3C
U+05CA1	U+05D17
U+05CAA	U+21D92
U+05CB3	U+05DBD
U+05CBA	U+05CAD
U+05CE1	U+05CFD
U+05CE8	U+05CE9
U+05CF0	U+05CEF
U+05D11	U+05D10
U+05D16	U+05D15
U+05D19	U+05D18
U+05D46	U+05D47
U+05D6F	U+05D73
U+05DA7	U+21D78
U+05DAE	U+21E34
U+05DE3	U+05DE2
U+05DFB	U+05377
U+05E06	U+03836
U+05E2F	U+05E36
U+05E63	U+05E64
U+05E76	U+05E77
U+05E79	U+069A6
U+05E7A	U+04E48
U+05E83	U+05EE3
U+05EB5	U+083F4
U+05EC3	U+05EE2
U+05ECA	U+0F928
U+05EE0	U+053B0
U+05EF8	U+08FEA
U+05EFC	U+08FFA
U+05F25	U+05F4C
U+05F2F	U+05F4E
U+05F3E	U+05F48
U+05F53	U+07576
U+05F5C	U+05F5D
U+05F7F	U+09AF4
U+05F80	U+05F83
U+05FB4	U+05FB5
U+05FDC	U+061C9
U+05FF0	U+060B4
U+0602A	U+06060
U+0604B	U+06200
U+06052	U+06046
U+06065	U+0803B
U+06075	U+060E0
U+06094	U+0FA3D
U+060A9	U+060F1
U+060AA	U+060E1
U+060E7	U+061FC
U+060E8	U+06158
U+0614E	U+0613C
U+0615A	U+06159
U+06168	U+0FA3E
U+0618E	U+0FA3F
U+06196	U+06197
U+0619A	U+060EE
U+061A9	U+06187
U+061D0	U+061F7
U+061E3	U+2285B
U+061F2	U+0FA40
U+061F4	U+061FA
U+0621B	U+0621E
U+06226	U+06230
U+0622F	U+06232
U+0623B	U+0623E
U+06255	U+062C2
U+0625E	U+0634D
U+06260	U+06268
U+0629C	U+062D4
U+0629E	U+064C7
U+062AC	U+064E1
U+062C5	U+064D4
U+062CF	U+062FF
U+062D6	U+062D5
U+062D8	U+06285
U+062DD	U+062DC
U+062E0	U+064DA
U+062E1	U+064F4
U+0631F	U+0633E
U+0635C	U+0641C
U+0638E	U+22C24
U+063B2	U+063ED
U+063B4	U+06451
U+063BB	U+06414
U+063C0	U+067EC
U+063FA	U+06416
U+06442	U+0651D
U+06460	U+063D4
U+06483	U+064CA
U+06488	U+22B50
U+064B9	U+0652A
U+064BF	U+22BA6
U+064E3	U+22B4F
U+06505	U+06522
U+0654F	U+0FA41
U+06570	U+06578
U+0658E	U+09F4B
U+065AD	U+065B7
U+065B2	U+065B5
U+065D9	U+065DB
U+065E2	U+0FA42
U+065E8	U+03AD6
U+06607	U+066FB
U+0660E	U+06719
U+0661C	U+06698
U+0661E	U+0663A
U+06620	U+0668E
U+0663C	U+0665D
U+0663F	U+066E0
U+06643	U+06644
U+0664B	U+06649
U+06662	U+06663
U+06670	U+06673
U+06681	U+066C9
U+06691	U+0FA43
U+066A6	U+066C6
U+066E6	U+03B22
U+066F3	U+066F5
U+066F9	U+066FA
U+066FD	U+066FE
U+0671F	U+0671E
U+0672C	U+05932
U+06749	U+06766
U+06751	U+090A8
U+06760	U+069D3
U+06761	U+0689D
U+0676F	U+076C3
U+067A1	U+0685D
U+067A2	U+06A1E
U+067C1	U+08235
U+06816	U+068F2
U+06822	U+067CF
U+06832	U+23465
U+06851	U+06852
U+0685C	U+06AFB
U+0685F	U+068E7
U+06863	U+06A94
U+06867	U+06A9C
U+068A8	U+068C3
U+068B9	U+06AB3
U+068BC	U+06AAE
U+068C4	U+05F03
U+068CB	U+068CA
U+068D5	U+06936
U+06901	U+069E8
U+0691C	U+06AA2
U+06922	U+069F6
U+06955	U+06A62
U+0697C	U+06A13
U+0697D	U+06A02
U+069C1	U+069C0
U+069CA	U+03BB6
U+069D8	U+06A23
U+069D9	U+069C7
U+069DE	U+06AF3
U+069F3	U+03BCD
U+06A12	U+06AC1
U+06A29	U+06B0A
U+06A2A	U+06A6B
U+06A48	U+234E4
U+06A4B	U+2363A
U+06A50	U+069D6
U+06A83	U+06AFD
U+06A90	U+07C37
U+06A97	U+08617
U+06AAA	U+06ADF
U+06AD1	U+07F4D
U+06B04	U+0F91D
U+06B05	U+0FA14
U+06B12	U+0683E
U+06B1B	U+2383D
U+06B1D	U+09B31
U+06B1F	U+23824
U+06B27	U+06B50
U+06B53	U+06B61
U+06B69	U+06B65
U+06B6F	U+09F52
U+06B74	U+06B77
U+06B79	U+06B7A
U+06B81	U+06B7F
U+06B8B	U+06B98
U+06BB1	U+06BB2
U+06BB4	U+06BC6
U+06BBA	U+0F970
U+06BBB	U+06BBC
U+06BCE	U+06BCF
U+06BD8	U+06BD7
U+06C08	U+06C0A
U+06C37	U+051B0
U+06C5A	U+06C59
U+06C7A	U+051B3
U+06C88	U+06C89
U+06C96	U+051B2
U+06CA1	U+06C92
U+06CA2	U+06FA4
U+06CC1	U+051B5
U+06CF0	U+23CFE
U+06D44	U+06DE8
U+06D45	U+06DFA
U+06D63	U+06FA3
U+06D77	U+0FA45
U+06D85	U+23D40
U+06D8C	U+06E67
U+06D9B	U+06FE4
U+06D9C	U+07006
U+06DB8	U+051C5
U+06DBC	U+051C9
U+06DEB	U+05A6C
U+06DEC	U+03CC3
U+06DFB	U+23DF9
U+06E07	U+06E34
U+06E08	U+06FDF
U+06E09	U+06D89
U+06E1A	U+0FA46
U+06E29	U+06EAB
U+06E7E	U+07063
U+06E7F	U+06FD5
U+06E80	U+06EFF
U+06E8C	U+06F51
U+06E96	U+051D6
U+06E9C	U+06F91
U+06ED4	U+03D1E
U+06EDD	U+07027
U+06EDE	U+06EEF
U+06EF2	U+06E17
U+06F22	U+0FA47
U+06F45	U+0704C
U+06F78	U+06F98
U+06F84	U+06F82
U+07026	U+06F74
U+0702C	U+07028
U+0704E	U+07069
U+0705E	U+03D9A
U+0706F	U+071C8
U+07075	U+03691
U+07089	U+07210
U+070AF	U+070F1
U+070B9	U+09EDE
U+070BA	U+07232
U+0713C	U+071D2
U+07159	U+070DF
U+07162	U+03DC0
U+0718F	U+071FB
U+07194	U+09394
U+071EE	U+07215
U+071FC	U+070EC
U+0720D	U+09460
U+07235	U+23763
U+0723F	U+04E2C
U+07256	U+07257
U+07281	U+07282
U+072A0	U+072A7
U+072A2	U+03E3F
U+072B2	U+08C7A
U+072B6	U+072C0
U+072E2	U+08C89
U+072EC	U+07368
U+072ED	U+072F9
U+072F8	U+08C8D
U+0730A	U+08C8E
U+0731F	U+07375
U+0732B	U+08C93
U+0732E	U+0737B
U+0732F	U+08C92
U+07336	U+072B9
U+0734F	U+08C98
U+07363	U+07378
U+073CD	U+073CE
U+073CF	U+073A8
U+073F1	U+074D4
U+07405	U+0746F
U+07422	U+0FA4A
U+07459	U+078AF
U+07460	U+074A2
U+07476	U+07464
U+074C9	U+074DA
U+074F6	U+07501
U+0750C	U+074EF
U+0750E	U+078DA
U+0753A	U+0753C
U+0753B	U+0756B
U+07565	U+07567
U+07574	U+07587
U+0758E	U+08E08
U+0758F	U+047FD
U+075E9	U+07626
U+075F4	U+07661
U+07609	U+07652
U+0763B	U+07618
U+0767A	U+0767C
U+0768E	U+06648
U+07690	U+0768B
U+07696	U+06665
U+076B8	U+076B9
U+076D7	U+076DC
U+076EA	U+0862F
U+0770C	U+07E23
U+0771F	U+0771E
U+07725	U+07726
U+07768	U+251A9
U+07779	U+089A9
U+0779E	U+2521E
U+077AD	U+066B8
U+077BC	U+251E5
U+077DA	U+077A9
U+07814	U+0784F
U+07815	U+0788E
U+07827	U+078AA
U+0783A	U+0792A
U+0788D	U+07919
U+07891	U+0FA4B
U+07926	U+0783F
U+0793C	U+079AE
U+0793E	U+0FA4C
U+07948	U+0FA4E
U+07949	U+0FA4D
U+07950	U+0FA4F
U+07956	U+0FA50
U+0795D	U+0FA51
U+0795E	U+0FA19
U+07962	U+079B0
U+07965	U+0FA1A
U+07977	U+079B1
U+07980	U+07A1F
U+07984	U+0797F
U+07985	U+079AA
U+0798D	U+0FA52
U+0798E	U+0FA53
U+0798F	U+0FA1B
