U+04E07	U+0842C
U+04E0E	U+08207
U+04E21	U+05169
U+04E26	U+07ADD
U+04E57	U+04E58
U+04E71	U+04E82
U+04E88	U+08C6B
U+04E89	U+0722D
U+04E9C	U+04E9E
U+04ECF	U+04F5B
U+04EEE	U+05047
U+04F1A	U+06703
U+04F1D	U+050B3
U+04F53	U+09AD4
U+04F59	U+09918
U+04F75	U+05002
U+04FA1	U+050F9
U+04FAE	U+0FA30
U+05039	U+05109
U+0507D	U+050DE
U+050E7	U+0FA31
U+0514D	U+0FA32
U+05150	U+05152
U+0515A	U+09EE8
U+05186	U+05713
U+05199	U+05BEB
U+051E6	U+08655
U+05263	U+0528D
U+05264	U+05291
U+05270	U+05269
U+052B1	U+052F5
U+052B4	U+052DE
U+052B9	U+06548
U+052C5	U+06555
U+052C9	U+0FA33
U+052E4	U+0FA34
U+052E7	U+052F8
U+052F2	U+052F3
U+0533A	U+05340
U+0533B	U+091AB
U+05351	U+0FA35
U+05358	U+055AE
U+05373	U+0537D
U+053B3	U+056B4
U+053C2	U+053C3
U+053CC	U+096D9
U+053CE	U+06536
U+053D9	U+0654D
U+053F0	U+081FA
U+053F7	U+0865F
U+0559D	U+0FA36
U+055B6	U+071DF
U+05606	U+0FA37
U+05631	U+056D1
U+05668	U+0FA38
U+056E3	U+05718
U+056F2	U+0570D
U+056F3	U+05716
U+056FD	U+0570B
U+0570F	U+05708
U+05727	U+058D3
U+05815	U+058AE
U+05840	U+0FA39
U+05841	U+058D8
U+0585A	U+0FA10
U+05869	U+09E7D
U+05897	U+0589E
U+058A8	U+0FA3A
U+058CA	U+058DE
U+058CC	U+058E4
U+058EE	U+058EF
U+058F0	U+08072
U+058F1	U+058F9
U+058F2	U+08CE3
U+05909	U+08B8A
U+05965	U+05967
U+05968	U+0596C
U+05B22	U+05B43
U+05B66	U+05B78
U+05B9D	U+05BF6
U+05B9F	U+05BE6
U+05BDB	U+05BEC
U+05BDD	U+05BE2
U+05BFE	U+05C0D
U+05BFF	U+058FD
U+05C02	U+05C08
U+05C06	U+05C07
U+05C3D	U+076E1
U+05C4A	U+05C46
U+05C5E	U+05C6C
U+05C64	U+0FA3B
U+05CB3	U+05DBD
U+05CE1	U+05CFD
U+05DE3	U+05DE2
U+05DFB	U+05377
U+05E2F	U+05E36
U+05E30	U+06B78
U+05E81	U+05EF3
U+05E83	U+05EE3
U+05EC3	U+05EE2
U+05ECA	U+0F928
U+05F01	U+074E3
U+05F01	U+08FAF
U+05F01	U+08FA8
U+05F10	U+08CB3
U+05F3E	U+05F48
U+05F53	U+07576
U+05F84	U+05F91
U+05F93	U+05F9E
U+05FB3	U+05FB7
U+05FB4	U+05FB5
U+05FDC	U+061C9
U+0604B	U+06200
U+06052	U+06046
U+06075	U+060E0
U+06094	U+0FA3D
U+060A9	U+060F1
U+060AA	U+060E1
U+060E8	U+06158
U+0614E	U+0613C
U+06168	U+0FA3E
U+0618E	U+0FA3F
