U+04E1F	U+04E22
U+04E48	U+05E7A
U+04E89	U+0722D
U+04EDE	U+04EED
U+04F75	U+05002
U+04FA3	U+04FB6
U+04FC1	U+04FE3
U+04FDE	U+0516A
U+04FF1	U+05036
U+05024	U+0503C
U+05077	U+05078
U+0507D	U+050DE
U+0514C	U+05151
U+0514E	U+05154
U+05156	U+05157
U+0518A	U+0518C
U+051C0	U+051C8
U+051E2	U+051E3
U+05203	U+05204
U+0520A	U+0520B
U+05220	U+0522A
U+05225	U+0522B
U+05238	U+052B5
U+05239	U+0524E
U+0524F	U+05259
U+0525D	U+05265
U+05292	U+05294
U+052FB	U+05300
U+05355	U+05358
U+05373	U+0537D
U+05377	U+05DFB
U+053C1	U+053C2
U+053C3	U+053C4
U+05415	U+05442
U+0541E	U+05451
U+05433	U+05434	U+05449
U+05436	U+05450
U+0543F	U+0544A
U+05527	U+0559E
U+055A9	U+055BB
U+05618	U+05653
U+0568F	U+05694
U+056EF	U+056FD
U+05708	U+0570F
U+0570E	U+05713
U+05716	U+05717
U+05759	U+05DE0
U+057D2	U+057D3
U+05848	U+0588D
U+05861	U+0586B
U+05897	U+0589E
U+058EE	U+058EF
U+058FD	U+05900
U+05910	U+0657B
U+05932	U+0672C
U+05965	U+05967
U+05968	U+0596C	U+0734E
U+05986	U+0599D
U+0598D	U+059F8
U+059CD	U+059D7
U+059EB	U+059EC
U+05A1B	U+05A2F	U+05A31
U+05A55	U+05AAB
U+05A7E	U+05AAE
U+05AAA	U+05ABC
U+05AAF	U+05B00
U+05B0E	U+05B14
U+05B24	U+05B37
U+05B73	U+05B76
U+05BAB	U+05BAE
U+05BDB	U+05BEC
U+05BDC	U+05BE7
U+05BDD	U+05BE2
U+05C02	U+05C08
U+05C06	U+05C07
U+05C13	U+05C14
U+05C19	U+05C1A
U+05C2A	U+05C2B
U+05C36	U+05C37
U+05C4F	U+05C5B
U+05CE5	U+05D22
U+05DD3	U+05DD4
U+05E21	U+05E32
U+05E2F	U+05E36
U+05E76	U+05E77
U+05EC4	U+05ECF
U+05F11	U+05F12
U+05F37	U+05F3A
U+05F39	U+05F3E
U+05F50	U+05F51
U+05F54	U+05F55
U+05F59	U+05F5A
U+05F5B	U+05F5C
U+05F5D	U+05F5E
U+05F65	U+05F66
U+05FB3	U+05FB7
U+05FB4	U+05FB5
U+06075	U+060E0
U+06085	U+060A6
U+0609E	U+060AE
U+060B3	U+060EA
U+06120	U+0614D
U+0613C	U+0614E
U+06229	U+0622C
U+0622F	U+06231
U+06236	U+06237	U+06238
U+0623B	U+0623E
U+0629B	U+062CB
U+0629C	U+062D4
U+06329	U+0635D
U+0633F	U+063D2	U+063F7
U+0634F	U+063D1
U+0635C	U+0641C
U+063B2	U+063ED
U+063FA	U+06416	U+06447
U+063FE	U+06435
U+06483	U+064CA
U+0654E	U+06559
U+06553	U+0655A
U+065E2	U+065E3
U+06602	U+0663B
U+0665A	U+06669
U+066A8	U+066C1
U+066FD	U+066FE
U+067B4	U+067FA
U+067E5	U+067FB
U+067F5	U+06805
U+068B2	U+068C1
U+06961	U+06986
U+06982	U+069EA
U+06985	U+069B2
U+0699D	U+06A27
U+069C7	U+069D9
U+069D8	U+06A23
U+06A2A	U+06A6B
U+06B65	U+06B69
U+06B72	U+06B73
U+06B7F	U+06B81
U+06BBB	U+06BBC
U+06BC0	U+06BC1
U+06BCE	U+06BCF
U+06C32	U+06C33
U+06C5A	U+06C61
U+06C92	U+06CA1
U+06D44	U+06DE8
U+06D89	U+06E09
U+06D97	U+06D9A
U+06D99	U+06DDA
U+06DE5	U+06E0C
U+06DF8	U+06E05
U+06E07	U+06E34
U+06E29	U+06EAB
U+06E88	U+06F59
U+06E89	U+06F11
U+06EDA	U+06EFE
U+06F5B	U+06FF3
U+07028	U+0702C
U+070BA	U+07232
U+0712D	U+07162
U+07155	U+07199
U+07174	U+07185
U+072B6	U+072C0
U+07464	U+07476
U+074F6	U+07501
U+07522	U+07523
U+075E9	U+07626
U+076A1	U+076A5
U+0771E	U+0771F
U+0773E	U+08846
U+07814	U+0784F
U+0797F	U+07984
U+079BF	U+079C3
U+07A05	U+07A0E
U+07A42	U+07A57
U+07B5D	U+07B8F
U+07BB3	U+07C08
U+07BE1	U+07C12
U+07CA4	U+07CB5
U+07D55	U+07D76
U+07DA0	U+07DD1
U+07DD2	U+07DD6
U+07DE3	U+07E01
U+07DFC	U+07E15
U+07E48	U+07E66
U+07FAE	U+07FB9
U+07FF6	U+07FFA
U+080FC	U+08141
U+0812B	U+08131
U+0817D	U+08183
U+08203	U+08204
U+0820D	U+0820E
U+08216	U+08217
U+08358	U+0838A
U+083D1	U+08458
U+08480	U+08495
U+0848B	U+08523
U+0848D	U+0853F
U+08570	U+08580
U+085AB	U+085B0
U+085F4	U+0860A
U+0865A	U+0865B
U+086FB	U+08715
U+0885B	U+0885E
U+0886E	U+0889E
U+088C5	U+088DD
U+08A2E	U+08A7D
U+08AAA	U+08AAC
U+08ACC	U+08AEB
U+08B20	U+08B21
U+08C5C	U+08C63
U+08D70	U+08D71
U+08EFF	U+08F27
U+08F1C	U+08F3A
U+08F3C	U+08F40
U+08FBE	U+08FD6
U+08FF8	U+0902C
U+09059	U+09065
U+090A2	U+090C9
U+090CE	U+090DE
U+090F7	U+09109	U+09115
U+09196	U+0919E
U+091A4	U+091AC
U+09203	U+09292
U+092B3	U+092ED
U+09304	U+09332
U+0932C	U+0934A
U+093AD	U+093AE
U+095B1	U+095B2
U+09667	U+09689
U+09751	U+09752
U+09759	U+0975C
U+0976D	U+09771
U+09839	U+0983D
U+0984F	U+09854
U+0985A	U+0985B
U+098EE	U+098F2
U+09905	U+09920
U+099B1	U+099C4
U+099E2	U+09A08
U+09AA9	U+09AAB
U+09AD8	U+09AD9
U+09AEA	U+09AEE
U+09B2C	U+09B2D
U+09C1B	U+09C2E
U+09CEF	U+09CF3
U+09D87	U+09DAB
U+09DC6	U+09DCF
U+09EAA	U+09EAB
U+09EBC	U+09EBD
U+09EC3	U+09EC4
U+09ED1	U+09ED2
