# 第一批異体字整理表（一異表）
yyb/variant,<rev>,yyb/regular
# 
庵,yyb/variant,菴
暗,yyb/variant,闇
暗,yyb/variant,晻
鞍,yyb/variant,鞌
岸,yyb/variant,㟁
坳,yyb/variant,㘭
鰲,yyb/variant,鼇
翱,yyb/variant,翺
霸,yyb/variant,覇
柏,yyb/variant,栢
稗,yyb/variant,粺
坂,yyb/variant,岅
幫,yyb/variant,幚
幫,yyb/variant,幇
膀,yyb/variant,髈
榜,yyb/variant,牓
刨,yyb/variant,鉋
刨,yyb/variant,鑤
褓,yyb/variant,緥
寶,yyb/variant,寳
褒,yyb/variant,襃
背,yyb/variant,揹
備,yyb/variant,俻
悖,yyb/variant,誖
杯,yyb/variant,盃
杯,yyb/variant,桮
奔,yyb/variant,犇
奔,yyb/variant,奔
奔,yyb/variant,逩
綳,yyb/variant,繃
痹,yyb/variant,痺
逼,yyb/variant,偪
斃,yyb/variant,獘
秘,yyb/variant,祕
弊,yyb/variant,𡚁
秕,yyb/variant,粃
遍,yyb/variant,徧
膘,yyb/variant,臕
鱉,yyb/variant,鼈
癟,yyb/variant,㿜
冰,yyb/variant,氷
幷,yyb/variant,併
幷,yyb/variant,並
幷,yyb/variant,竝
禀,yyb/variant,稟
鉢,yyb/variant,缽
鉢,yyb/variant,盋
博,yyb/variant,愽
駁,yyb/variant,駮
脖,yyb/variant,𩓐
布,yyb/variant,佈
睬,yyb/variant,倸
踩,yyb/variant,跴
采,yyb/variant,寀
采,yyb/variant,採
彩,yyb/variant,綵
慚,yyb/variant,慙
參,yyb/variant,㕘
草,yyb/variant,艸
操,yyb/variant,𢮥
操,yyb/variant,撡
册,yyb/variant,冊
厠,yyb/variant,廁
策,yyb/variant,筞
策,yyb/variant,筴
碴,yyb/variant,𦉆
查,yyb/variant,査
察,yyb/variant,詧
插,yyb/variant,揷
鏟,yyb/variant,剷
嘗,yyb/variant,嚐
嘗,yyb/variant,甞
腸,yyb/variant,膓
場,yyb/variant,塲
扯,yyb/variant,撦
嗔,yyb/variant,瞋
趁,yyb/variant,趂
乘,yyb/variant,乗
乘,yyb/variant,椉
撑,yyb/variant,撐
澄,yyb/variant,澂
塍,yyb/variant,堘
吃,yyb/variant,喫
翅,yyb/variant,翄
耻,yyb/variant,恥
痴,yyb/variant,癡
敕,yyb/variant,勅
敕,yyb/variant,勑
仇,yyb/variant,讐
瞅,yyb/variant,矁
瞅,yyb/variant,𥄨
酬,yyb/variant,酧
酬,yyb/variant,詶
酬,yyb/variant,醻
鋤,yyb/variant,鉏
鋤,yyb/variant,耡
蹰,yyb/variant,躕
橱,yyb/variant,櫥
厨,yyb/variant,廚
厨,yyb/variant,㕑
船,yyb/variant,舩
創,yyb/variant,剏
